epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4615.5,1.38709,1.0127,1.17045,0.79464,0.74885,0.80978,0.46323,1.43893,0.90726,1.22471,0.000957358,0.000957358,0.000957358
88,4660.41,1.37124,1.02623,1.17103,0.78058,0.76647,0.82746,0.47621,1.4136,0.92777,1.2098,0.000949106,0.000949106,0.000949106
89,4705.44,1.39416,1.03614,1.18402,0.79463,0.74663,0.80859,0.46757,1.43372,0.89638,1.21389,0.000940855,0.000940855,0.000940855
90,4750.26,1.3894,1.0139,1.17895,0.79536,0.7604,0.81647,0.46791,1.41064,0.92151,1.21284,0.000932603,0.000932603,0.000932603
91,4792.89,1.4071,1.029,1.18256,0.81973,0.73944,0.81868,0.47419,1.42258,0.90254,1.21074,0.000924352,0.000924352,0.000924352
92,4835.69,1.37012,1.01038,1.16219,0.80964,0.73577,0.81069,0.46801,1.43913,0.91866,1.2135,0.0009161,0.0009161,0.0009161
93,4877.93,1.39126,1.02874,1.17247,0.79827,0.75659,0.81993,0.4585,1.4669,0.90811,1.23172,0.000907848,0.000907848,0.000907848
94,4920.39,1.3662,1.0054,1.1695,0.83219,0.76241,0.82991,0.47937,1.41539,0.89031,1.20723,0.000899597,0.000899597,0.000899597
95,4962.85,1.3635,1.00757,1.15765,0.80573,0.73974,0.81092,0.46236,1.41976,0.91075,1.20769,0.000891345,0.000891345,0.000891345
96,5004.94,1.38145,0.99291,1.15872,0.8006,0.76199,0.81866,0.47416,1.43546,0.89146,1.22559,0.000883093,0.000883093,0.000883093
97,5047.69,1.39068,1.01604,1.18558,0.83705,0.76056,0.82599,0.48389,1.40128,0.87407,1.2014,0.000874842,0.000874842,0.000874842
98,5089.83,1.36687,1.00967,1.1597,0.82414,0.7589,0.83095,0.48636,1.39906,0.85679,1.20571,0.00086659,0.00086659,0.00086659
99,5132.23,1.36824,0.99598,1.1694,0.82246,0.74364,0.81866,0.48227,1.39473,0.87425,1.20066,0.000858338,0.000858338,0.000858338
100,5176.72,1.34913,0.96987,1.15898,0.8178,0.76481,0.83158,0.48922,1.38055,0.87527,1.19956,0.000850087,0.000850087,0.000850087
101,5219.05,1.34837,0.9792,1.14998,0.81417,0.78025,0.83172,0.50241,1.36429,0.85612,1.18543,0.000841835,0.000841835,0.000841835
102,5261.53,1.37218,0.98246,1.16591,0.83473,0.76315,0.82167,0.48583,1.41067,0.86168,1.20214,0.000833583,0.000833583,0.000833583
103,5303.63,1.35196,0.96651,1.15347,0.82356,0.74983,0.81718,0.4783,1.4086,0.8779,1.20323,0.000825332,0.000825332,0.000825332
104,5346.24,1.33927,0.96733,1.14713,0.80434,0.74697,0.82901,0.48718,1.3776,0.88221,1.1942,0.00081708,0.00081708,0.00081708
105,5388.84,1.35515,0.97068,1.15244,0.81098,0.76294,0.83265,0.48637,1.41102,0.87444,1.20206,0.000808828,0.000808828,0.000808828
106,5431.6,1.34282,0.97723,1.1511,0.8125,0.76884,0.83384,0.48988,1.38751,0.85238,1.1906,0.000800577,0.000800577,0.000800577
107,5474.14,1.34361,0.95312,1.14081,0.81301,0.76949,0.8372,0.48963,1.38999,0.84282,1.19491,0.000792325,0.000792325,0.000792325
108,5516.4,1.33969,0.94948,1.14639,0.84389,0.74515,0.84059,0.50318,1.35849,0.84919,1.17467,0.000784073,0.000784073,0.000784073
109,5559.45,1.3409,0.95059,1.14733,0.82437,0.75854,0.83127,0.491,1.36966,0.8433,1.18401,0.000775822,0.000775822,0.000775822
110,5601.88,1.34957,0.96317,1.15165,0.81829,0.77489,0.84193,0.50847,1.32817,0.82947,1.1695,0.00076757,0.00076757,0.00076757
111,5644.44,1.34647,0.96991,1.15274,0.82329,0.75378,0.83061,0.49288,1.3636,0.86713,1.19107,0.000759318,0.000759318,0.000759318
112,5687.19,1.32952,0.95982,1.14311,0.84284,0.75453,0.83454,0.50296,1.3645,0.83439,1.17987,0.000751067,0.000751067,0.000751067
113,5730.62,1.30912,0.93478,1.13449,0.81484,0.74497,0.82413,0.48569,1.40257,0.86549,1.19915,0.000742815,0.000742815,0.000742815
